Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,Arb ID,Remote,Xtd,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,PT,Trgt,Src,B1,B2,B3,B4,B5,B6,B7,B8,Value,Trigger,Signals
99,-110.780725275,0.04088747499999102,283674067337216,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
100,-110.76989605,0.01082922499999484,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,80,,,,,,,,,
101,-110.700080625,0.0698154250000016,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
102,-110.61406415,0.08601647500000809,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,9B,31,,,,,,,,,
103,-110.613770125,0.000294025000002307,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
104,-110.522204025,0.09156609999999432,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
105,-110.483333125,0.03887090000000626,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,77,,,,,,,,,
106,-110.439140025,0.0441931000000011,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
107,-110.415405425,0.02373459999999738,284773578964992,F,F,HS CAN $31A,HS CAN,,31A,F,F,9F,35,,,,,,,,,
108,-110.383883925,0.03152149999999665,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,74,,,,,,,,,
109,-110.3551837,0.02870022499999436,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
110,-110.283533675,0.07165002500001094,283674067337216,F,F,HS CAN $43C,HS CAN,,43C,F,F,0B,73,,,,,,,,,
111,-110.271306475,0.01222719999999811,67371008,F,F,HS CAN $777,HS CAN,,777,F,F,01,01,0B,AB,,,,,,,
