GPS Date,8/4/2016,,,,,,,,,,,,,,,,,,,,,,,
GPS Time,21:35:19,,,,,,,,,,,,,,,,,,,,,,,
speedK,0.1,,,,,,,,,,,,,,,,,,,,,,,
speedI,0.3,,,,,,,,,,,,,,,,,,,,,,,
speedD,0,,,,,,,,,,,,,,,,,,,,,,,
angleK,4,,,,,,,,,,,,,,,,,,,,,,,
angleI,0.3,,,,,,,,,,,,,,,,,,,,,,,
angleD,25,,,,,,,,,,,,,,,,,,,,,,,
mode,1,,,,,,,,,,,,,,,,,,,,,,,
compassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
CANcompassOffset,0,,,,,,,,,,,,,,,,,,,,,,,
fixPointLat,44.39710999,,,,,,,,,,,,,,,,,,,,,,,
fixPointLon,-110.5308838,,,,,,,,,,,,,,,,,,,,,,,
Time [ms],goalAngle [deg],Compass [deg],GPS Course [deg],CANcompassHeading [deg],ekfYawAngle,integral [deg],rateGyro [deg/s],ekfYawRate [deg/s],angleSetting,goalSpeed [mph],GPSspeed [mph],CANGPSspeed [mph],ekfSpeed [mph],speedAdjust,speedSetting,rightMotor,leftMotor,gps.location.lat,gps.location.lng,distanceToFixPoint [m],courseToFixPoint [deg],fig8phase,fig8timer,turnSetting
3648687,196.72,196.6,202.08,91,196.61,4.855,0.137,-0.367,-7,2.2,1.38,0,1.36,0,48,147,133,44.39708328,-110.5309143,9.1,41.77,0,3648437,0
3648737,196.72,193.8,202.08,91,196.69,4.857,0.206,-0.258,-4,2.2,1.38,0,1.36,0,48,144,136,44.39708328,-110.5309143,9.1,41.77,0,3648487,0
3648787,196.72,193.8,209.16,91.2,196.76,4.855,0.335,-0.145,-2,2.2,1.54,0,1.36,0,48,142,138,44.39708328,-110.5309143,9.1,41.77,0,3648538,0
3648837,196.72,193.8,209.16,91.2,196.81,4.85,0.339,-0.053,0,2.2,1.54,0,1.37,0,48,140,140,44.39708328,-110.5309143,9.1,41.77,0,3648587,0
3648887,196.72,193.8,209.16,91.2,196.86,4.843,0.404,0.035,1,2.2,1.54,0,1.37,0,48,139,141,44.39708328,-110.5309143,9.1,41.77,0,3648637,0
3648937,196.72,198.4,209.16,91.2,196.88,4.835,0.232,0.071,2,2.2,1.54,0,1.38,0,48,138,142,44.39708328,-110.5309143,9.1,41.77,0,3648687,0
3648987,196.72,198.4,209.16,91.2,196.89,4.826,0.148,0.085,2,2.2,1.54,0,1.39,0,48,138,142,44.39708328,-110.5309143,9.1,41.77,0,3648737,0
3649037,196.72,198.4,209.16,91.4,196.87,4.819,-0.042,0.06,2,2.2,1.54,0,1.4,0,48,138,142,44.39708328,-110.5309143,9.1,41.77,0,3648787,0
3649087,196.72,198.4,209.16,91.4,196.85,4.812,-0.107,0.028,1,2.2,1.54,0,1.4,0,48,139,141,44.39708328,-110.5309143,9.1,41.77,0,3648837,0
3649137,196.72,200.4,209.16,91.8,196.82,4.807,-0.271,-0.03,0,2.2,1.54,0,1.41,0,48,140,140,44.39707947,-110.5309219,9.1,41.77,0,3648887,0
3649187,196.72,200.4,209.16,91.8,196.78,4.804,-0.424,-0.106,-1,2.2,1.54,0,1.41,0,48,141,139,44.39707947,-110.5309219,9.1,41.77,0,3648937,0
3649237,196.72,200.4,209.16,91.4,196.75,4.802,-0.466,-0.175,-3,2.2,1.54,0,1.42,0,48,143,137,44.39707947,-110.5309219,9.1,41.77,0,3648987,0
3649287,196.72,200.4,209.16,91.4,196.72,4.802,-0.626,-0.262,-5,2.2,1.54,0,1.43,0,48,145,135,44.39707947,-110.5309219,9.1,41.77,0,3649037,0
3649337,196.72,193.5,209.16,91,196.69,4.803,-0.607,-0.325,-6,2.2,1.54,0,1.43,0,48,146,134,44.39707947,-110.5309219,9.1,41.77,0,3649087,0
3649387,196.72,193.5,209.16,91,196.67,4.806,-0.676,-0.389,-8,2.2,1.54,0,1.44,0,48,148,132,44.39707947,-110.5309219,9.1,41.77,0,3649137,0
